datatime, azm [Ave RZ], m0 [S1 (100 mm)], m1 [S2 (200 mm)], m2 [S3 (305 mm)], m3 [S4 (400 mm)], m4 [S5 (600 mm)], m5 [S6 (800 mm)], t0 [T1 (100 mm)], t1 [T2 (200 mm)], t2 [T3 (305 mm)], t3 [T4 (400 mm)], t4 [T5 (600 mm)], t5 [T6 (800 mm)]
2017-08-01 00:00:00, 93.75, 95.89, 93.03, 91.53, 94.54, 94.53, 89.64, 8.5, 8, 8.33, 8, 8, 8
2017-08-01 00:30:00, 93.73, 95.89, 92.99, 91.5, 94.54, 94.53, 89.64, 8.5, 8, 8.33, 8, 8, 8
2017-08-01 01:00:00, 93.73, 95.89, 92.99, 91.53, 94.5, 94.53, 89.64, 8.5, 8, 8.33, 8, 8, 8
2017-08-01 01:30:00, 93.7, 95.85, 92.95, 91.5, 94.5, 94.53, 89.64, 8.33, 8, 8.33, 8, 8, 8
2017-08-01 02:00:00, 93.71, 95.85, 92.95, 91.5, 94.54, 94.53, 89.64, 8.33, 8, 8.33, 8, 8, 8
2017-08-01 02:30:00, 93.7, 95.85, 92.95, 91.5, 94.5, 94.49, 89.64, 8.33, 8, 8.33, 8, 8, 8
2017-08-01 03:00:00, 93.69, 95.8, 92.95, 91.5, 94.5, 94.53, 89.59, 8.33, 8, 8.33, 8, 8, 8
2017-08-01 03:30:00, 93.69, 95.8, 92.95, 91.5, 94.5, 94.49, 89.64, 8.33, 8, 8.33, 8, 8, 8
2017-08-01 04:00:00, 93.69, 95.8, 92.95, 91.46, 94.54, 94.49, 89.59, 8.33, 8, 8.33, 8, 8, 8
2017-08-01 04:30:00, 93.68, 95.8, 92.91, 91.5, 94.5, 94.45, 89.54, 8.33, 8, 8.33, 8, 8, 8
2017-08-01 05:00:00, 93.67, 95.8, 92.91, 91.46, 94.5, 94.49, 89.54, 8.33, 8, 8.33, 8, 8, 8
2017-08-01 05:30:00, 93.67, 95.85, 92.91, 91.46, 94.46, 94.45, 89.54, 8.33, 8, 8.33, 8, 8, 8
2017-08-01 06:00:00, 93.69, 95.89, 92.91, 91.46, 94.5, 94.45, 89.45, 8.33, 8, 8.33, 8, 8, 8.33
2017-08-01 06:30:00, 93.68, 95.89, 92.91, 91.46, 94.46, 94.45, 89.4, 8.33, 8, 8.33, 8, 8, 8.33
2017-08-01 07:00:00, 93.69, 95.99, 92.91, 91.46, 94.39, 94.37, 89.45, 8.33, 8, 8.33, 8.33, 8.33, 8.33
2017-08-01 07:30:00, 93.7, 95.99, 92.95, 91.46, 94.42, 94.33, 89.4, 8.33, 8, 8.33, 8.33, 8.33, 8.33
