date, heat_units, rain, erain, total_irrig, tot_eff_irrig, etc, ety, et0, etcp, rzone, available, days_left, deficit_current, rzm, rzm_source, fcap, profile, deficit_want, refill, et0_forecast_yr, cc0, original_unit_system
2017-01-01, 14.995833333333, 0, 0, 5, 3.62, 3.65, 1.9, 7.3, 0, 500, 13.57, 2.51, -1.17, 63.17, Electronic Probe, 62, 0, 20, 49.6, 5.4, 0.50, si
2017-01-02, 12.258333333333, 0, 0, 7.5, 5.5, 1.85, 3.65, 3.7, 0, 500, 9.83, 1.69, 2.57, 59.43, Electronic Probe, 62, 0, 20, 49.6, 5.83, 0.50, si
2017-01-03, 9.2625, 0, 0, 0, 0, 3.07, 1.85, 6.13, 0, 500, 6.22, 1.06, 6.18, 55.82, Electronic Probe, 62, 0, 20, 49.6, 5.89, 0.50, si
2017-01-04, 12.695833333333, 0, 0, 0, 0, 3.28, 3.07, 6.56, 0, 500, 2.15, 0.35, 10.25, 51.75, Electronic Probe, 62, 0, 20, 49.6, 6.1, 0.50, si
2017-01-05, 13.716666666667, 0, 0, 7.5, 5.5, 3.35, 3.28, 6.69, 0, 500, 3.19, 0.53, 9.21, 52.79, Electronic Probe, 62, 0, 20, 49.6, 6.04, 0.50, si
2017-01-06, 10.979166666667, 0, 0, 2.5, 1.75, 3.11, 3.35, 6.21, 0, 500, 2.37, 0.39, 10.03, 51.97, Electronic Probe, 62, 0, 20, 49.6, 6.06, 0.50, si
2017-01-07, 12.104166666667, 0, 0, 2.5, 1.75, 3.32, 3.11, 6.63, 0, 500, 4.49, 0.80, 7.91, 54.09, Electronic Probe, 62, 0, 20, 49.6, 5.63, 0.50, si
2017-01-08, 12.879166666667, 0, 0, 0, 0, 3.51, 3.32, 7.01, 0, 500, -1.76, -0.32, 14.16, 47.84, Electronic Probe, 62, 0, 20, 49.6, 5.49, 0.50, si
2017-01-09, 13.141666666667, 0, 0, 7.5, 5.5, 3.55, 3.51, 7.1, 0, 500, -0.06, -0.01, 12.46, 49.54, Electronic Probe, 62, 0, 20, 49.6, 4.94, 0.50, si
2017-01-10, 12.341666666667, 27.6, 11.3, 2.5, 1.75, 3.01, 3.55, 6.01, 0, 500, 9.88, 2.03, 2.52, 59.48, Electronic Probe, 62, 0, 20, 49.6, 4.87, 0.50, si
2017-01-11, 11.354166666667, 0, 0, 0, 0, 1.9, 3.01, 3.8, 0, 500, 8.3, 1.62, 4.1, 57.9, Electronic Probe, 62, 0, 20, 49.6, 5.11, 0.50, si
2017-01-12, 7.9291666666667, 0, 0, 7.5, 5.5, 1.9, 1.9, 3.8, 0, 500, 8.84, 1.54, 3.56, 58.44, Electronic Probe, 62, 0, 20, 49.6, 5.75, 0.50, si
2017-01-13, 8.9541666666667, 0, 0, 2.5, 1.75, 1.9, 1.9, 3.8, 0, 500, 16.12, 2.51, -3.72, 65.72, Electronic Probe, 62, 0, 20, 49.6, 6.42, 0.50, si
2017-01-14, 9.8, 0, 0, 7.5, 5.5, 1.9, 1.9, 3.8, 0, 500, 12.21, 1.90, 0.19, 61.81, Electronic Probe, 62, 0, 20, 49.6, 6.41, 0.50, si
