date, heat_units, T_min, T_max, T_24hour_avg, rain, erain, total_irrig, tot_eff_irrig, etc, ety, et0, etcp, rzone, available, days_left, deficit_current, rzm, rzm_source, fcap, profile, deficit_want, refill, et0_forecast_yr, cc0, original_unit_system
2017-01-01, 14.45, 16.3, 32.6, 24.9958, 0, 0, 8, 5.87, 3.85, 1.9, 7.7, 244.22, 500, 12.8, 6.74, 15.48, 125.92, Electronic Probe, 141.4, 244.22, 20, 113.12, 5.72, 0.50, si
2017-01-02, 10.3, 14.8, 25.8, 22.2583, 0, 0, 5.3, 3.87, 2.81, 1.9, 5.61, 12.57, 500, 19.39, 10.21, 8.89, 132.51, Electronic Probe, 141.4, 256.78, 20, 113.12, 5.83, 0.50, si
2017-01-03, 9.35, 12.5, 26.2, 19.2625, 0, 0, 5.3, 3.87, 3.47, 1.9, 6.93, 11.23, 500, 27.43, 14.44, 0.85, 140.55, Electronic Probe, 141.4, 268.01, 20, 113.12, 5.89, 0.50, si
2017-01-04, 12.75, 14.7, 30.8, 22.6958, 0, 0, 2.7, 1.87, 3.71, 1.9, 7.42, -0.2, 500, 27.42, 14.43, 0.86, 140.54, Electronic Probe, 141.4, 267.81, 20, 113.12, 6.1, 0.50, si
2017-01-05, 13.4, 17.9, 28.9, 23.7167, 0, 0, 2.7, 1.87, 3.23, 1.9, 6.45, -15.31, 500, 15.94, 8.39, 12.34, 129.06, Electronic Probe, 141.4, 252.49, 20, 113.12, 6.04, 0.50, si
2017-01-06, 11.0, 15.3, 26.7, 20.9792, 0, 0, 2.7, 1.87, 3.08, 15.31, 6.16, -3.64, 500, 13.44, 0.88, 14.84, 126.56, Electronic Probe, 141.4, 248.85, 20, 113.12, 6.01, 0.50, si
2017-01-07, 12.35, 16.3, 28.4, 22.1042, 0, 0, 0, 0, 3.4, 9.47, 6.8, -4.61, 500, 10.15, 1.07, 18.13, 123.27, Electronic Probe, 141.4, 244.24, 20, 113.12, 5.63, 0.50, si
2017-01-08, 12.9, 15.7, 30.1, 22.8792, 0, 0, 0, 0, 3.7, 7.85, 7.4, -9.46, 500, 1.95, 0.25, 26.33, 115.07, Electronic Probe, 141.4, 234.79, 20, 113.12, 5.49, 0.50, si
2017-01-09, 13.15, 17.0, 29.3, 23.1417, 0, 0, 2.7, 1.87, 3.69, 8.26, 7.37, 12.15, 500, 13.3, 1.61, 14.98, 126.42, Electronic Probe, 141.4, 246.94, 20, 113.12, 4.94, 0.50, si
2017-01-10, 14.1, 17.3, 30.9, 22.3417, 27.6, 11.3, 2.7, 1.87, 3.89, 5.9, 7.77, 4.76, 500, 17.22, 2.92, 11.06, 130.34, Electronic Probe, 141.4, 251.69, 20, 113.12, 4.87, 0.50, si
2017-01-11, 11.4, 15.7, 27.1, 21.3542, 0, 0, 0, 0, 3.34, 7.04, 6.68, -16.2, 500, 4.03, 0.57, 24.25, 117.15, Electronic Probe, 141.4, 235.5, 20, 113.12, 5.11, 0.50, si
2017-01-12, 8.6, 14.0, 23.2, 17.9292, 0, 0, 2.7, 1.87, 3.01, 9.46, 6.01, 9.78, 500, 14.32, 1.51, 13.96, 127.44, Electronic Probe, 141.4, 245.27, 20, 113.12, 5.75, 0.50, si
2017-01-13, 9.25, 12.9, 25.6, 18.9542, 0, 0, 8, 5.87, 2.9, 9.46, 5.8, -17.08, 500, -0.51, -0.05, 28.79, 112.61, Electronic Probe, 141.4, 228.19, 20, 113.12, 6.42, 0.50, si
2017-01-14, 9.8, 13.4, 26.2, 19.8, 0, 0, 2.7, 1.87, 3.16, 9.46, 6.31, 24.55, 500, 16.37, 1.73, 11.91, 129.49, Electronic Probe, 141.4, 252.74, 20, 113.12, 6.41, 0.50, si
2017-01-15, 9.65, 14.0, 25.3, 19.0083, 0, 0, 2.7, 1.87, 2.78, 9.46, 5.56, -7.76, 500, 11.1, 1.17, 17.18, 124.22, Electronic Probe, 141.4, 244.98, 20, 113.12, 6.42, 0.50, si
2017-01-16, 8.2, 11.4, 25.0, 18.2958, 0, 0, 8, 5.87, 3.8, 9.46, 7.59, -3.85, 500, 8.6, 0.91, 19.68, 121.72, Electronic Probe, 141.4, 241.13, 20, 113.12, 6.41, 0.50, si
2017-01-17, 12.5, 14.1, 30.9, 22.2042, 0, 0, 2.7, 1.87, 4.23, 3.85, 8.45, 13.71, 500, 17.84, 4.63, 10.44, 130.96, Electronic Probe, 141.4, 254.84, 20, 113.12, 5.96, 0.50, si
