date, heat_units, T_min, T_max, T_24hour_avg, rain, erain, total_irrig, tot_eff_irrig, etc, ety, et0, etcp, rzone, available, days_left, deficit_current, rzm, rzm_source, fcap, profile, deficit_want, refill, et0_forecast_yr, cc0, original_unit_system
2017-01-01, 14.45, 16.3, 32.6, 24.9958, 0, 0, 5, 3.62, 3.85, 1.9, 7.7, 57.41, 500, -1.16, -0.61, 13.56, 48.44, Electronic Probe, 62, 57.41, 20, 49.6, 5.4, 0.50, si
2017-01-02, 10.3, 14.8, 25.8, 22.2583, 0, 0, 7.5, 5.5, 2.81, 1.9, 5.61, 2.95, 500, 1.92, 1.01, 10.48, 51.52, Electronic Probe, 62, 60.36, 20, 49.6, 5.83, 0.50, si
2017-01-03, 9.35, 12.5, 26.2, 19.2625, 0, 0, 7.5, 5.5, 3.47, 1.9, 6.93, 9.8, 500, 10.07, 5.30, 2.33, 59.67, Electronic Probe, 62, 70.16, 20, 49.6, 5.89, 0.50, si
2017-01-04, 12.75, 14.7, 30.8, 22.6958, 0, 0, 7.5, 5.5, 3.71, 1.9, 7.42, 1.58, 500, 10.84, 5.71, 1.56, 60.44, Electronic Probe, 62, 71.74, 20, 49.6, 6.1, 0.50, si
2017-01-05, 13.4, 17.9, 28.9, 23.7167, 0, 0, 5, 3.62, 3.23, 1.9, 6.45, 0.88, 500, 11.29, 5.94, 1.11, 60.89, Electronic Probe, 62, 72.62, 20, 49.6, 6.04, 0.50, si
2017-01-06, 11.0, 15.3, 26.7, 20.9792, 0, 0, 2.5, 1.75, 3.08, 1.9, 6.16, -5.82, 500, 7.68, 4.04, 4.72, 57.28, Electronic Probe, 62, 66.8, 20, 49.6, 6.01, 0.50, si
2017-01-07, 12.35, 16.3, 28.4, 22.1042, 0, 0, 2.5, 1.75, 3.4, 1.9, 6.8, -1.97, 500, 6.26, 3.29, 6.14, 55.86, Electronic Probe, 62, 64.83, 20, 49.6, 5.63, 0.50, si
2017-01-08, 12.9, 15.7, 30.1, 22.8792, 0, 0, 0, 0, 3.7, 1.97, 7.4, -13.26, 500, -6.73, -3.42, 19.13, 42.87, Electronic Probe, 62, 51.57, 20, 49.6, 5.49, 0.50, si
2017-01-09, 13.15, 17.0, 29.3, 23.1417, 0, 0, 7.5, 5.5, 3.69, 7.62, 7.37, 7.5, 500, 0.89, 0.12, 11.51, 50.49, Electronic Probe, 62, 59.07, 20, 49.6, 4.94, 0.50, si
2017-01-10, 14.1, 17.3, 30.9, 22.3417, 27.6, 11.3, 2.5, 1.75, 3.89, 7.62, 7.77, 11.21, 500, 11.33, 1.49, 1.07, 60.93, Electronic Probe, 62, 70.28, 20, 49.6, 4.87, 0.50, si
2017-01-11, 11.4, 15.7, 27.1, 21.3542, 0, 0, 0, 0, 3.34, 7.62, 6.68, -13.27, 500, -1.31, -0.17, 13.71, 48.29, Electronic Probe, 62, 57.01, 20, 49.6, 5.11, 0.50, si
2017-01-12, 8.6, 14.0, 23.2, 17.9292, 0, 0, 7.5, 5.5, 3.01, 13.26, 6.01, 4.71, 500, 3.48, 0.26, 8.92, 53.08, Electronic Probe, 62, 61.72, 20, 49.6, 5.75, 0.50, si
2017-01-13, 9.25, 12.9, 25.6, 18.9542, 0, 0, 2.5, 1.75, 2.9, 13.26, 5.8, 12.42, 500, 15.63, 1.18, -3.23, 65.23, Electronic Probe, 62, 74.14, 20, 49.6, 6.42, 0.50, si
2017-01-14, 9.8, 13.4, 26.2, 19.8, 0, 0, 7.5, 5.5, 3.16, 13.26, 6.31, -3.92, 500, 11.23, 0.85, 1.17, 60.83, Electronic Probe, 62, 70.22, 20, 49.6, 6.41, 0.50, si
2017-01-15, 9.65, 14.0, 25.3, 19.0083, 0, 0, 2.5, 1.75, 2.78, 13.26, 5.56, 2.19, 500, 11, 0.83, 1.4, 60.6, Electronic Probe, 62, 72.41, 20, 49.6, 6.42, 0.50, si
2017-01-16, 8.2, 11.4, 25.0, 18.2958, 0, 0, 7.5, 5.5, 3.8, 13.26, 7.59, -6.3, 500, 7.38, 0.56, 5.02, 56.98, Electronic Probe, 62, 66.11, 20, 49.6, 6.41, 0.50, si
2017-01-17, 12.5, 14.1, 30.9, 22.2042, 0, 0, 7.5, 5.5, 4.23, 13.26, 8.45, 7.65, 500, 12.49, 0.94, -0.09, 62.09, Electronic Probe, 62, 73.76, 20, 49.6, 5.96, 0.50, si
2017-01-18, 14.1, 16.9, 31.3, 24.35, 0, 0, 2.5, 1.75, 3.61, 13.26, 7.21, -7.73, 500, 5.75, 0.43, 6.65, 55.35, Electronic Probe, 62, 66.03, 20, 49.6, 5.51, 0.50, si
2017-01-19, 8.15, 12.4, 23.9, 17.5542, 0, 0, 2.5, 1.75, 3.01, 13.26, 6.02, 7.72, 500, 12.14, 0.92, 0.26, 61.74, Electronic Probe, 62, 73.75, 20, 49.6, 5.47, 0.50, si
2017-01-20, 5.75, 9.7, 21.8, 15.6875, 0, 0, 2.5, 1.75, 2.77, 13.26, 5.53, -3.13, 500, 10.58, 0.80, 1.82, 60.18, Electronic Probe, 62, 70.62, 20, 49.6, 5.97, 0.50, si
2017-01-21, 11.7, 13.4, 30.0, 21.375, 0, 0, 5, 3.62, 3.55, 13.26, 7.1, -12.06, 500, -0.24, -0.02, 12.64, 49.36, Electronic Probe, 62, 58.56, 20, 49.6, 5.6, 0.50, si
2017-01-22, 14.4, 18.6, 30.2, 24.2417, 0, 0, 5, 3.62, 3.26, 12.06, 6.52, 10.4, 500, 10, 0.83, 2.4, 59.6, Electronic Probe, 62, 68.96, 20, 49.6, 4.58, 0.50, si
2017-01-23, 12.65, 16.4, 28.9, 22.1875, 0, 0, 5, 3.62, 2.99, 12.06, 5.98, 3.44, 500, 11.4, 0.95, 1, 61, Electronic Probe, 62, 72.4, 20, 49.6, 4.46, 0.50, si
2017-01-24, 5.25, 11.8, 18.7, 15.5833, 0, 0, 5, 3.62, 2.51, 12.06, 5.02, 1.76, 500, 13, 1.08, -0.6, 62.6, Electronic Probe, 62, 74.16, 20, 49.6, 4.11, 0.50, si
2017-01-25, 7.7, 9.2, 26.2, 17.9167, 0, 0, 5, 3.62, 3.1, 12.06, 6.19, 0.06, 500, 12.8, 1.06, -0.4, 62.4, Electronic Probe, 62, 74.22, 20, 49.6, 3.8, 0.50, si
2017-01-26, 9.6, 13.6, 25.6, 19.4583, 0, 0, 5, 3.62, 2.82, 12.06, 5.64, -7.87, 500, 7, 0.58, 5.4, 56.6, Electronic Probe, 62, 66.35, 20, 49.6, 4.06, 0.50, si
2017-01-27, 5.25, 11.2, 19.3, 14.75, 0, 0, 2.5, 1.75, 2.55, 12.06, 5.09, 4.87, 500, 11.87, 0.98, 0.53, 61.47, Electronic Probe, 62, 71.22, 20, 49.6, 4.14, 0.50, si
2017-01-28, 6.8, 10.5, 23.1, 16.6125, 0, 0, 2.5, 1.75, 2.76, 12.06, 5.52, -2.46, 500, 10.21, 0.85, 2.19, 59.81, Electronic Probe, 62, 68.76, 20, 49.6, 4.63, 0.50, si
2017-01-29, 8.55, 12.4, 24.7, 17.8208, 0, 0, 2.5, 1.88, 2.67, 12.06, 5.33, -7.02, 500, 3.42, 0.28, 8.98, 53.02, Electronic Probe, 62, 61.73, 20, 49.6, 5, 0.50, si
