date, heat_units, T_min, T_max, T_24hour_avg, rain, erain, total_irrig, tot_eff_irrig, etc, ety, et0, etcp, rzone, available, days_left, deficit_current, rzm, rzm_source, fcap, profile, deficit_want, refill, et0_forecast_yr, cc0, original_unit_system
2017-01-01, 14.45, 16.3, 32.6, 24.9958, 0, 0, 5.3, 3.87, 3.85, 1.9, 7.7, 142.03, 500, -30.46, -16.03, 58.74, 82.66, Electronic Probe, 141.4, 142.03, 20, 113.12, 5.4, 0.50, si
2017-01-02, 10.3, 14.8, 25.8, 22.2583, 0, 0, 5.3, 3.87, 2.53, 1.9, 5.61, 12.53, 500, -23.84, -12.55, 52.12, 89.28, Electronic Probe, 141.4, 154.56, 20, 113.12, 5.83, 0.50, si
2017-01-03, 9.35, 12.5, 26.2, 19.2625, 0, 0, 5.3, 3.87, 3.47, 1.9, 6.93, -3.25, 500, -25.81, -13.58, 54.09, 87.31, Electronic Probe, 141.4, 151.31, 20, 113.12, 5.89, 0.50, si
2017-01-04, 12.75, 14.7, 30.8, 22.6958, 0, 0, 2.7, 1.87, 3.71, 1.9, 7.42, -0.76, 500, -25.98, -13.67, 54.26, 87.14, Electronic Probe, 141.4, 150.55, 20, 113.12, 6.1, 0.50, si
2017-01-05, 13.4, 17.9, 28.9, 23.7167, 0, 0, 2.7, 1.87, 3.23, 0.76, 6.45, -1.04, 500, -28.52, -30.00, 56.8, 84.6, Electronic Probe, 141.4, 149.52, 20, 113.12, 6.04, 0.50, si
2017-01-06, 11.0, 15.3, 26.7, 20.9792, 0, 0, 2.7, 1.87, 2.77, 0.9, 6.16, -2.47, 500, -28.76, -30.00, 57.04, 84.36, Electronic Probe, 141.4, 147.05, 20, 113.12, 6.01, 0.50, si
2017-01-07, 12.35, 16.3, 28.4, 22.1042, 0, 0, 0, 0, 3.06, 1.42, 6.8, 0.6, 500, -28.81, -20.24, 57.09, 84.31, Electronic Probe, 141.4, 147.65, 20, 113.12, 5.63, 0.50, si
2017-01-08, 12.9, 15.7, 30.1, 22.8792, 0, 0, 0, 0, 3.33, 1.42, 7.4, -0.46, 500, -30.69, -21.56, 58.97, 82.43, Electronic Probe, 141.4, 147.2, 20, 113.12, 5.49, 0.50, si
2017-01-09, 13.15, 17.0, 29.3, 23.1417, 0, 0, 2.7, 1.87, 3.32, 1.75, 7.37, -0.95, 500, -28.3, -16.13, 56.58, 84.82, Electronic Probe, 141.4, 146.24, 20, 113.12, 4.94, 0.50, si
2017-01-10, 14.1, 17.3, 30.9, 22.3417, 27.6, 11.3, 2.7, 1.87, 3.5, 1.71, 7.77, -0.18, 500, -28.75, -16.81, 57.03, 84.37, Electronic Probe, 141.4, 146.06, 20, 113.12, 4.87, 0.50, si
